,name,gender
1381,achiropita,1
1382,achit,2
1383,achmad,2
1384,achmed,2
1385,achoi,1
1387,achola,1
1388,achols,1
1389,achor,2
1390,achouya,1
1391,achuil,2
1392,achuol,1
1393,achut,2
1394,achva,2
1395,achwiel,1
1396,achyuth,2
1400,aciano,2
1401,acid,2
1402,aciec,1
1403,aciff,2
1404,acikila,1
1405,acilino,2
1406,acim,2
1407,acinweng,1
1408,acira,1
1409,acire,1
1410,acka,2
1411,acke,2
1412,ackim,2
1413,ackle,2
1414,ackley,2
1415,acko,2
1416,acob,2
1417,acok,1
1418,acosia,1
1419,acoy,2
1420,acoya,2
1421,acquanetta,1
1422,acquanette,1
1423,acquilla,2
1424,acquim,2
1425,acrom,1
1426,acsa,1
1427,aculina,1
1428,acura,1
1429,acurcio,2
1430,acxel,2
1431,acy,2
1432,acyaey,1
1433,acyl,2
1435,adriaan,0
1439,hoowun,1
1444,adaa,1
1445,adaam,2
1446,adaan,2
1447,adabel,1
1448,adabell,1
1449,adabella,1
1450,adabpreet,2
1451,adacia,1
1452,adacyn,1
1453,adady,2
1454,adae,2
1455,adaelyn,1
1456,adahir,2
1457,adahli,1
1458,adahlynne,1
1459,adahn,1
1460,adahy,2
1461,adai,1
1462,adaia,1
1463,adaidh,2
1464,adaija,1
1465,adaijah,1
1466,adairis,1
1467,adaisa,1
1468,adaisha,1
1469,adaisia,1
1470,adaja,1
1471,adajah,1
1472,adakras,2
1476,adalae,1
1477,adalai,1
1478,adalaide,1
1479,adalaina,1
1480,adalaine,1
1481,adalay,1
1482,adalayne,1
1483,adalciza,1
1484,adalea,1
1485,adaleah,1
1486,adaleen,1
1487,adalen,1
1488,adalena,1
1489,adalene,1
1490,adaley,1
1491,adaleyah,1
1492,adalgira,1
1493,adalgiso,2
1494,adalhi,1
1495,adaliah,1
1496,adalicia,1
1497,adalid,0
1498,adalida,1
1499,adalien,1
1500,adaliene,1
1501,adalind,1
1502,adalinda,1
1503,adalinn,1
1504,adalis,1
1505,adalisa,1
1506,adalise,1
1507,adalius,2
1508,adaliz,1
1509,adallyn,1
1510,adallysha,1
1511,adalmiina,1
1512,adaly,1
1513,adalye,1
1514,adalyna,1
1515,adalys,1
1516,adalyse,1
1518,arafat,2
1528,jorg,2
1530,komrad,2
1534,magdi,2
1536,mustapha,2
1543,yassine,2
1544,adamae,1
1545,adamah,2
1546,adamandia,1
1547,adamantia,1
1548,adamantini,1
1549,adamari,1
1550,adamarie,1
1551,adamaris,1
1552,adamariz,1
1553,adamary,1
1554,adamas,2
1555,adamay,1
1556,adamina,1
1557,adamira,1
1558,adamm,2
1559,adamma,1
1560,adammichael,2
1561,adamson,2
1562,adamu,2
1563,adanaya,1
1564,adaneli,1
1565,adanelly,1
1566,adanely,1
1567,adania,1
1568,adaniel,2
1569,adante,2
1570,adaon,2
1571,adari,2
1572,adaria,1
1573,adariaha,1
1574,adarian,2
1575,adarien,2
1576,adarion,2
1577,adarious,2
1578,adarra,1
1579,adarrius,2
1580,adarryl,2
1581,adarryll,2
1582,adarsha,1
1583,adaryl,2
1584,adaryll,2
1587,wandycz,2
1588,adasha,1
1589,adashia,1
1590,adasia,1
1591,adason,0
1592,adasu,1
1593,adau,1
1594,adauny,1
1595,adavia,1
1596,adavion,2
1597,adaw,1
1598,adawn,1
1600,adawncia,1
1601,adayla,1
1602,adayre,1
1603,adaysha,1
1604,adayshia,1
1605,adaysia,1
1606,adayz,1
1607,adbeel,2
1608,adbiel,2
1609,adbul,2
1610,adbur,2
1612,add,2
1616,addalee,1
1617,addaleigh,1
1618,addaley,1
1619,addalie,1
1620,addalina,1
1621,addalyne,1
1622,addalynne,1
1623,addan,2
1624,addelai,1
1625,addelaine,1
1626,addelin,1
1627,addelina,1
1628,addelinn,1
1629,addell,1
1630,addelyne,1
1631,addelynne,1
1632,adderly,2
1633,adderson,2
1634,addeson,1
1635,addey,1
1636,addi,1
1638,addia,1
1639,addicus,2
1640,addicyn,1
1645,addiel,2
1646,addielynn,1
1647,addien,1
1648,addiena,1
1649,addieson,1
1650,addileigh,1
1651,addiley,1
1652,addilia,1
1653,addiline,1
1654,addilyne,1
1655,addin,1
1656,addina,1
1657,addine,1
1658,addisin,1
1665,addiston,1
1666,addisun,1
1667,addisynn,1
1668,addla,1
1669,addle,1
1670,addlee,1
1671,addler,1
1672,addlie,1
1673,addlore,2
1674,addolorato,2
1675,addon,2
1676,addonaye,2
1677,addonis,2
1678,addox,2
1679,addriana,1
1680,addrianna,1
1681,addrienne,1
1682,addrita,1
1683,addsion,1
1684,addylan,1
1685,addylayde,1
1686,addylin,1
1687,addylyn,1
1688,addylynn,1
1689,addysan,1
1690,addysin,1
1691,addysn,1
1692,addysson,1
1693,addysun,1
1694,addyzyn,1
1695,adeanna,1
1696,adeara,1
1697,adeb,2
1698,adebanke,1
1699,adebomi,2
1700,adeboye,2
1701,adebukola,1
1702,adecia,1
1703,adedamisola,1
1704,adedipo,2
1705,adedolapo,1
1706,adedunke,1
1707,adeebah,1
1708,adeele,1
1709,adeene,1
1710,adeep,2
1711,adeer,2
1712,adeesa,1
1713,adeev,2
1714,adeeva,1
1715,adeewa,1
1716,adefemi,2
1717,adegboyega,2
1718,adegoke,2
1719,adein,2
1720,adejah,1
1721,adejinmi,2
1722,adejuwon,2
1723,adekola,2
1724,adelaid,1
1725,adelaide,1
1726,lucille,1
1727,adelaina,1
1728,adelajde,1
1729,adelay,1
1730,adelayda,1
1731,adelayde,1
1732,adelayne,1
1733,adelchi,2
1734,adeleah,1
1735,adelean,1
1736,adeleen,1
1737,adelei,1
1738,adeleon,2
1739,adeley,1
1740,adelfina,1
1741,adelfried,2
1742,adelgund,1
1743,adelhard,2
1744,adelheide,1
1745,adelice,1
1746,adelicia,1
1747,adelida,1
1748,adeliese,1
1749,adelinah,1
1750,adelind,1
1751,adelindo,2
1752,adelinh,1
1753,adelis,1
1754,adeliya,1
1755,adeliz,1
1756,adellah,1
1757,adellaide,1
1758,adelleda,1
1759,adellia,1
1760,adellyn,1
1761,adellynn,1
1762,adelmar,2
1763,adelmina,1
1764,adelmino,2
1765,adelo,2
1766,adelola,1
1767,adelore,2
1768,adelphia,1
1769,adelphine,1
1770,adelso,2
1771,adeltraud,1
1772,adeltraut,1
1773,adeluta,1
1774,adely,1
1775,adelyna,1
1776,adelys,1
1777,adema,1
1778,ademar,2
1779,ademara,1
1780,ademaro,2
1781,ademi,1
1782,ademil,2
1783,ademiposi,2
1784,ademir,2
1785,ademoe,1
1788,adeng,1
1789,adenn,2
1790,adeo,2
1791,adeodata,1
1792,adeodato,2
1793,adeodatus,2
1794,adeoye,2
1795,adepoju,2
1796,adera,1
1797,aderayo,1
1798,aderita,1
1799,adero,1
1800,aderola,2
1801,adesa,1
1802,adesayo,1
1803,adesegun,2
1804,adesewa,1
1805,adeseye,2
1806,adesha,1
1807,adeshola,2
1808,adeshpratap,2
1809,adeshveer,2
1810,adeshwar,2
1811,adesoji,2
1812,adesola,1
1814,adessah,1
1815,adeswara,2
1816,adesyn,1
1817,adetoke,1
1818,adetomiwa,2
1819,adew,1
1820,adewonuola,1
1821,adewumi,2
1822,adewunmi,1
1823,adey,2
1824,adeye,1
1825,adeyele,2
1826,adeyemisi,1
1827,adger,2
1828,adgie,0
1829,adha,1
1830,adhal,2
1831,adhamh,2
1832,adhanya,1
1833,adhara,1
1834,adharsh,2
1835,adhav,2
1836,adhavan,2
1837,adheem,2
